,Clinton (D),Dole (R),Total
AL,662165,769044,1534349
AK,80380,122746,241620
AZ,653288,622073,1404405
AR,475171,325416,884262
CA,5119835,3828380,10019484
CO,671152,691848,1510704
CT,735740,483109,1392614
DE,140355,99062,270845
DC,158220,17339,185726
FL,2546870,2244536,5303794
GA,1053849,1080843,2299071
HI,205012,113943,360120
ID,165443,256595,491719
IL,2341744,1587021,4311391
IN,887424,1006693,2135842
IA,620258,492644,1234075
KS,387659,583245,1074300
KY,636614,623283,1388708
LA,927837,712586,1783959
ME,312788,186378,605897
MD,966207,681530,1780870
MA,1571763,718107,2556786
MI,1989653,1481212,3848844
MN,1120438,766476,2192640
MS,394022,439838,893857
MO,1025935,890016,2158065
MT,167922,179652,407261
NE,236761,363467,677415
NV,203974,199244,464279
NH,246214,196532,499175
NJ,1652329,1103078,3075807
NM,273495,232751,556074
NY,3756177,1933492,6316129
NC,1107849,1225938,2515807
ND,106905,125050,266411
OH,2148222,1859883,4534434
OK,488105,582315,1206713
OR,649641,538152,1377760
PA,2215819,1801169,4506118
RI,233050,104683,390284
SC,506283,573458,1151689
SD,139333,150543,323826
TN,909146,863530,1894105
TX,2459683,2736167,5611644
UT,221633,361911,665629
VT,137894,80352,258449
VA,1091060,1138350,2416642
WA,1123323,840712,2253837
WV,327812,233946,636459
WI,1071971,845029,2196169
WY,77934,105388,211571
